Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,0.79975,0.009192388
HLB+,Ma-1,Mi-1,0.793666667,0.004131182
HLB-,Ma-1,Mi-2,0.79825,0.013677406
HLB+,Ma-1,Mi-2,0.792285714,0.011898379
HLB-,Ma-1,Mi-3,0.799,0.009724784
HLB+,Ma-1,Mi-3,0.795142857,0.012654756
HLB-,Ma-2,Mi-1,0.793833333,0.007985403
HLB+,Ma-2,Mi-1,0.793833333,0.011600287
HLB-,Ma-2,Mi-2,0.785875,0.011897629
HLB+,Ma-2,Mi-2,0.781375,0.01050085
HLB-,Ma-2,Mi-3,0.788857143,0.00839501
HLB+,Ma-2,Mi-3,0.777142857,0.013569925
HLB-,Ma-3,Mi-1,0.7925,0.009319718
HLB+,Ma-3,Mi-1,0.795,0.00746101
HLB-,Ma-3,Mi-2,0.78925,0.015526475
HLB+,Ma-3,Mi-2,0.784833333,0.015484401
HLB-,Ma-3,Mi-3,0.787875,0.015375653
HLB+,Ma-3,Mi-3,0.787666667,0.013618615
