Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,0.805875,0.010162079
HLB+,Ma-1,Mi-1,0.772166667,0.015765997
HLB-,Ma-1,Mi-2,0.8105,0.013190906
HLB+,Ma-1,Mi-2,0.794166667,0.017915543
HLB-,Ma-1,Mi-3,0.796428571,0.019372292
HLB+,Ma-1,Mi-3,0.797142857,0.00847405
HLB-,Ma-2,Mi-1,0.80775,0.013666957
HLB+,Ma-2,Mi-1,0.787333333,0.011378342
HLB-,Ma-2,Mi-2,0.793333333,0.01817324
HLB+,Ma-2,Mi-2,0.794714286,0.011968212
HLB-,Ma-2,Mi-3,0.802857143,0.019556999
HLB+,Ma-2,Mi-3,0.7895,0.01345734
HLB-,Ma-3,Mi-1,0.803875,0.009538456
HLB+,Ma-3,Mi-1,0.791666667,0.011656186
HLB-,Ma-3,Mi-2,0.809,0.013251415
HLB+,Ma-3,Mi-2,0.7945,0.01143241
HLB-,Ma-3,Mi-3,0.810833333,0.01151376
HLB+,Ma-3,Mi-3,0.794666667,0.010519823
